Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-01 09:30:00-04:00,20.780000686645508,20.780000686645508,20.709999084472656,20.760000228881836,0,0,0
2022-11-01 09:31:00-04:00,20.739999771118164,20.739999771118164,20.709999084472656,20.71500015258789,6800,0,0
2022-11-01 09:32:00-04:00,20.719999313354492,20.719999313354492,20.709999084472656,20.709999084472656,60115,0,0
2022-11-01 09:33:00-04:00,20.719900131225586,20.739999771118164,20.709999084472656,20.729999542236328,33738,0,0
2022-11-01 09:34:00-04:00,20.75,20.75,20.719999313354492,20.75,204885,0,0
2022-11-01 09:35:00-04:00,20.729999542236328,20.7450008392334,20.719999313354492,20.729999542236328,13700,0,0
2022-11-01 09:36:00-04:00,20.729999542236328,20.729999542236328,20.729999542236328,20.729999542236328,400,0,0
2022-11-01 09:37:00-04:00,20.729999542236328,20.735000610351562,20.729999542236328,20.729999542236328,1421,0,0
2022-11-01 09:38:00-04:00,20.709999084472656,20.729999542236328,20.709999084472656,20.729999542236328,4063,0,0
2022-11-01 09:39:00-04:00,20.719999313354492,20.735000610351562,20.719999313354492,20.729999542236328,6700,0,0
2022-11-01 09:40:00-04:00,20.739999771118164,20.739999771118164,20.739999771118164,20.739999771118164,500,0,0
2022-11-01 09:41:00-04:00,20.739999771118164,20.739999771118164,20.729999542236328,20.729999542236328,4200,0,0
2022-11-01 09:42:00-04:00,20.729999542236328,20.739999771118164,20.729999542236328,20.739999771118164,11700,0,0
2022-11-01 09:43:00-04:00,20.739999771118164,20.739999771118164,20.729999542236328,20.729999542236328,6000,0,0
2022-11-01 09:44:00-04:00,20.735000610351562,20.739999771118164,20.735000610351562,20.739999771118164,21600,0,0
2022-11-01 09:45:00-04:00,20.719999313354492,20.719999313354492,20.719999313354492,20.719999313354492,2000,0,0
2022-11-01 09:46:00-04:00,20.700000762939453,20.709999084472656,20.700000762939453,20.700000762939453,11995,0,0
2022-11-01 09:47:00-04:00,20.709999084472656,20.719999313354492,20.700000762939453,20.700000762939453,7300,0,0
2022-11-01 09:48:00-04:00,20.700000762939453,20.709999084472656,20.690000534057617,20.709999084472656,102193,0,0
2022-11-01 09:49:00-04:00,20.709999084472656,20.719999313354492,20.709999084472656,20.709999084472656,5900,0,0
2022-11-01 09:50:00-04:00,20.690000534057617,20.690000534057617,20.690000534057617,20.690000534057617,434,0,0
2022-11-01 09:51:00-04:00,20.690000534057617,20.700000762939453,20.68000030517578,20.690000534057617,1850,0,0
2022-11-01 09:52:00-04:00,20.690000534057617,20.700000762939453,20.690000534057617,20.690000534057617,40960,0,0
2022-11-01 09:53:00-04:00,20.690000534057617,20.700000762939453,20.690000534057617,20.690000534057617,851011,0,0
2022-11-01 09:54:00-04:00,20.68000030517578,20.690000534057617,20.68000030517578,20.690000534057617,1000,0,0
2022-11-01 09:55:00-04:00,20.700000762939453,20.700000762939453,20.700000762939453,20.700000762939453,100,0,0
2022-11-01 09:56:00-04:00,20.700000762939453,20.700000762939453,20.690000534057617,20.690000534057617,3750,0,0
